EngDispl,NumCyl,Transmission,FE,AirAspirationMethod,NumGears,TransLockup,TransCreeperGear,DriveDesc,IntakeValvePerCyl,ExhaustValvesPerCyl,CarlineClassDesc,VarValveTiming,VarValveLift
4.7,8,AM6,28.0198,NaturallyAspirated,6,1,0,TwoWheelDriveRear,2,2,2Seaters,1,0
4.7,8,M6,25.6094,NaturallyAspirated,6,1,0,TwoWheelDriveRear,2,2,2Seaters,1,0
4.2,8,M6,26.8,NaturallyAspirated,6,1,0,AllWheelDrive,2,2,2Seaters,1,0
4.2,8,AM6,25.0451,NaturallyAspirated,6,1,0,AllWheelDrive,2,2,2Seaters,1,0
5.2,10,AM6,24.8,NaturallyAspirated,6,0,0,AllWheelDrive,2,2,2Seaters,1,0
5.2,10,M6,23.9,NaturallyAspirated,6,0,0,AllWheelDrive,2,2,2Seaters,1,0
2.0,4,S6,39.7256,Turbocharged,6,0,0,AllWheelDrive,2,2,2Seaters,1,0
6.0,12,S6,24.4,Turbocharged,6,0,0,AllWheelDrive,2,2,2Seaters,1,0
3.0,6,S6,39.7103,NaturallyAspirated,6,1,0,TwoWheelDriveRear,2,2,2Seaters,1,1
3.0,6,M6,38.7896,NaturallyAspirated,6,0,0,TwoWheelDriveRear,2,2,2Seaters,1,1
3.0,6,S7,33.6296,Turbocharged,7,1,0,TwoWheelDriveRear,2,2,2Seaters,1,0
3.0,6,M6,35.2678,Turbocharged,6,0,0,TwoWheelDriveRear,2,2,2Seaters,1,0
8.0,16,S7,17.8,Turbocharged,7,0,0,AllWheelDrive,2,2,2Seaters,1,0
6.2,8,M6,27.1,Supercharged,6,0,0,TwoWheelDriveRear,1,1,2Seaters,0,0
6.2,8,S6,34.3493,NaturallyAspirated,6,1,0,TwoWheelDriveRear,1,1,2Seaters,0,0
6.2,8,M6,35.8,NaturallyAspirated,6,0,0,TwoWheelDriveRear,1,1,2Seaters,0,0
7.0,8,M6,33.7,NaturallyAspirated,6,0,0,TwoWheelDriveRear,1,1,2Seaters,0,0
8.4,10,M6,30.0,NaturallyAspirated,6,0,0,TwoWheelDriveRear,1,1,2Seaters,1,0
8.4,10,M6,30.0,NaturallyAspirated,6,0,0,TwoWheelDriveRear,1,1,2Seaters,1,0
4.5,8,AM7,24.3499,NaturallyAspirated,7,0,0,TwoWheelDriveRear,2,2,2Seaters,1,0
5.7,12,AM6,20.99,NaturallyAspirated,6,0,0,TwoWheelDriveRear,2,2,2Seaters,1,0
5.7,12,M6,21.1,NaturallyAspirated,6,0,0,TwoWheelDriveRear,2,2,2Seaters,1,0
5.2,10,AM6,25.4,NaturallyAspirated,6,1,0,AllWheelDrive,2,2,2Seaters,1,0
5.2,10,M6,24.0,NaturallyAspirated,6,0,0,AllWheelDrive,2,2,2Seaters,1,0
5.2,10,AM6,25.4,NaturallyAspirated,6,0,0,AllWheelDrive,2,2,2Seaters,1,0
5.2,10,M6,22.6,NaturallyAspirated,6,0,0,AllWheelDrive,2,2,2Seaters,1,0
6.5,12,Other,17.5,NaturallyAspirated,7,0,0,AllWheelDrive,2,2,2Seaters,1,0
6.5,12,AM7,19.9,NaturallyAspirated,7,0,0,AllWheelDrive,2,2,2Seaters,1,0
6.5,12,AM7,19.9,NaturallyAspirated,7,0,0,AllWheelDrive,2,2,2Seaters,1,0
6.5,12,Other,17.5,NaturallyAspirated,7,0,0,AllWheelDrive,2,2,2Seaters,1,0
6.5,12,AM7,19.9,NaturallyAspirated,7,0,0,AllWheelDrive,2,2,2Seaters,1,0
1.8,4,M6,37.62,NaturallyAspirated,6,0,0,TwoWheelDriveRear,2,2,2Seaters,1,1
1.8,4,M6,37.0028,Supercharged,6,0,0,TwoWheelDriveRear,2,2,2Seaters,1,1
2.0,4,M5,38.9959,NaturallyAspirated,5,0,0,TwoWheelDriveRear,2,2,2Seaters,1,0
2.0,4,M6,39.0,NaturallyAspirated,6,0,0,TwoWheelDriveRear,2,2,2Seaters,1,0
2.0,4,S6,38.512,NaturallyAspirated,6,1,0,TwoWheelDriveRear,2,2,2Seaters,1,0
5.5,8,A7,29.3,NaturallyAspirated,7,1,0,TwoWheelDriveRear,2,2,2Seaters,1,0
3.0,6,M6,35.9,NaturallyAspirated,6,0,0,TwoWheelDriveRear,2,2,2Seaters,1,0
3.5,6,A7,36.2,NaturallyAspirated,7,1,0,TwoWheelDriveRear,2,2,2Seaters,1,0
3.5,6,A7,34.5,NaturallyAspirated,7,1,0,TwoWheelDriveRear,2,2,2Seaters,1,0
3.5,6,M6,34.7927,NaturallyAspirated,6,0,0,TwoWheelDriveRear,2,2,2Seaters,1,0
5.5,8,A7,30.8,NaturallyAspirated,7,1,0,TwoWheelDriveRear,2,1,2Seaters,1,0
1.0,3,Other,57.8,NaturallyAspirated,5,1,0,TwoWheelDriveRear,2,2,2Seaters,1,0
1.0,3,Other,57.8,NaturallyAspirated,5,1,0,TwoWheelDriveRear,2,2,2Seaters,1,0
3.7,6,M6,35.9802,NaturallyAspirated,6,1,0,TwoWheelDriveRear,2,2,2Seaters,1,1
3.7,6,S7,36.9,NaturallyAspirated,7,1,0,TwoWheelDriveRear,2,2,2Seaters,1,1
3.7,6,S7,34.5832,NaturallyAspirated,7,1,0,TwoWheelDriveRear,2,2,2Seaters,1,1
3.7,6,M6,34.9,NaturallyAspirated,6,0,0,TwoWheelDriveRear,2,2,2Seaters,1,1
2.0,4,A5,37.5,Turbocharged,5,1,0,TwoWheelDriveRear,2,2,2Seaters,1,0
2.0,4,M5,40.0,Turbocharged,5,0,0,TwoWheelDriveRear,2,2,2Seaters,1,0
2.4,4,A5,33.6,NaturallyAspirated,5,1,0,TwoWheelDriveRear,2,2,2Seaters,1,0
2.4,4,M5,36.4,NaturallyAspirated,5,0,0,TwoWheelDriveRear,2,2,2Seaters,1,0
3.8,6,M6,28.5532,NaturallyAspirated,6,0,0,TwoWheelDriveRear,2,2,2Seaters,1,1
3.8,6,M6,27.372,NaturallyAspirated,6,0,0,TwoWheelDriveRear,2,2,2Seaters,1,1
2.9,6,M6,37.3296,NaturallyAspirated,6,0,0,TwoWheelDriveRear,2,2,2Seaters,1,1
2.9,6,A7,41.3608,NaturallyAspirated,7,0,0,TwoWheelDriveRear,2,2,2Seaters,1,1
3.4,6,M6,36.7299,NaturallyAspirated,6,0,0,TwoWheelDriveRear,2,2,2Seaters,1,1
3.4,6,A7,40.9978,NaturallyAspirated,7,0,0,TwoWheelDriveRear,2,2,2Seaters,1,1
2.9,6,M6,37.3296,NaturallyAspirated,6,0,0,TwoWheelDriveRear,2,2,2Seaters,1,1
2.9,6,A7,41.3608,NaturallyAspirated,7,0,0,TwoWheelDriveRear,2,2,2Seaters,1,1
3.4,6,M6,36.7299,NaturallyAspirated,6,0,0,TwoWheelDriveRear,2,2,2Seaters,1,1
3.4,6,A7,40.9978,NaturallyAspirated,7,0,0,TwoWheelDriveRear,2,2,2Seaters,1,1
2.0,4,A5,37.5,Turbocharged,5,1,0,TwoWheelDriveRear,2,2,2Seaters,1,0
2.0,4,M5,40.0,Turbocharged,5,0,0,TwoWheelDriveRear,2,2,2Seaters,1,0
2.4,4,M5,36.4,NaturallyAspirated,5,0,0,TwoWheelDriveRear,2,2,2Seaters,1,0
2.4,4,A5,33.6,NaturallyAspirated,5,1,0,TwoWheelDriveRear,2,2,2Seaters,1,0
4.2,8,A6,27.471,NaturallyAspirated,6,1,0,TwoWheelDriveRear,3,2,2Seaters,1,0
5.9,12,M6,23.6523,NaturallyAspirated,6,1,0,TwoWheelDriveRear,2,2,MinicompactCars,0,0
5.9,12,S6,27.2408,NaturallyAspirated,6,1,0,TwoWheelDriveRear,2,2,MinicompactCars,0,0
5.9,12,M6,22.9258,NaturallyAspirated,6,1,0,TwoWheelDriveRear,2,2,MinicompactCars,0,0
5.9,12,S6,24.6983,NaturallyAspirated,6,1,0,TwoWheelDriveRear,2,2,MinicompactCars,0,0
4.3,8,AM7,26.1157,NaturallyAspirated,7,0,0,TwoWheelDriveRear,2,2,MinicompactCars,1,0
5.0,8,S6,32.8808,NaturallyAspirated,6,1,0,TwoWheelDriveRear,2,2,MinicompactCars,1,1
5.0,8,S6,30.3378,Supercharged,6,1,0,TwoWheelDriveRear,2,2,MinicompactCars,1,0
5.0,8,S6,30.8027,NaturallyAspirated,6,1,0,TwoWheelDriveRear,2,2,MinicompactCars,1,1
4.3,8,S6,31.6,NaturallyAspirated,6,1,0,TwoWheelDriveRear,2,2,MinicompactCars,1,0
3.5,6,M6,35.5,NaturallyAspirated,6,0,0,TwoWheelDriveRear,2,2,MinicompactCars,1,0
1.6,4,M6,51.6555,NaturallyAspirated,6,0,0,TwoWheelDriveFront,2,2,MinicompactCars,1,1
1.6,4,S6,47.2025,NaturallyAspirated,6,1,0,TwoWheelDriveFront,2,2,MinicompactCars,1,1
1.6,4,M6,52.0,NaturallyAspirated,6,0,0,TwoWheelDriveFront,2,2,MinicompactCars,1,1
1.6,4,S6,47.2025,NaturallyAspirated,6,1,0,TwoWheelDriveFront,2,2,MinicompactCars,1,1
1.6,4,S6,44.5714,Turbocharged,6,1,0,TwoWheelDriveFront,2,2,MinicompactCars,1,0
1.6,4,M6,47.7592,Turbocharged,6,0,0,TwoWheelDriveFront,2,2,MinicompactCars,1,0
1.6,4,S6,44.5714,Turbocharged,6,1,0,TwoWheelDriveFront,2,2,MinicompactCars,1,0
1.6,4,M6,47.7592,Turbocharged,6,0,0,TwoWheelDriveFront,2,2,MinicompactCars,1,0
1.6,4,M6,46.5047,Turbocharged,6,0,0,TwoWheelDriveFront,2,2,MinicompactCars,1,1
1.6,4,M6,46.5047,Turbocharged,6,0,0,TwoWheelDriveFront,2,2,MinicompactCars,1,1
2.4,4,S4,36.2628,NaturallyAspirated,4,1,0,TwoWheelDriveFront,2,2,MinicompactCars,0,1
3.8,6,S5,33.2,NaturallyAspirated,5,1,0,TwoWheelDriveFront,2,2,MinicompactCars,0,1
3.6,6,M6,35.2427,NaturallyAspirated,6,0,0,TwoWheelDriveRear,2,2,MinicompactCars,1,1
3.6,6,A7,37.6908,NaturallyAspirated,7,0,0,TwoWheelDriveRear,2,2,MinicompactCars,1,1
3.6,6,M6,34.8754,NaturallyAspirated,6,0,0,FourWheelDrive,2,2,MinicompactCars,1,1
3.6,6,A7,36.7563,NaturallyAspirated,7,0,0,FourWheelDrive,2,2,MinicompactCars,1,1
3.6,6,M6,34.8754,NaturallyAspirated,6,0,0,FourWheelDrive,2,2,MinicompactCars,1,1
3.6,6,A7,36.4395,NaturallyAspirated,7,0,0,FourWheelDrive,2,2,MinicompactCars,1,1
3.6,6,M6,34.8754,NaturallyAspirated,6,0,0,FourWheelDrive,2,2,MinicompactCars,1,1
3.6,6,A7,36.4395,NaturallyAspirated,7,0,0,FourWheelDrive,2,2,MinicompactCars,1,1
3.8,6,M6,34.5148,NaturallyAspirated,6,0,0,FourWheelDrive,2,2,MinicompactCars,1,1
3.8,6,A7,36.013000000000005,NaturallyAspirated,7,0,0,FourWheelDrive,2,2,MinicompactCars,1,1
3.8,6,M6,34.5148,NaturallyAspirated,6,0,0,FourWheelDrive,2,2,MinicompactCars,1,1
3.8,6,A7,37.0769,NaturallyAspirated,7,0,0,FourWheelDrive,2,2,MinicompactCars,1,1
3.8,6,M6,34.5148,NaturallyAspirated,6,0,0,FourWheelDrive,2,2,MinicompactCars,1,1
3.8,6,A7,37.0769,NaturallyAspirated,7,0,0,FourWheelDrive,2,2,MinicompactCars,1,1
3.6,6,M6,35.2427,NaturallyAspirated,6,0,0,TwoWheelDriveRear,2,2,MinicompactCars,1,1
3.6,6,A7,37.6908,NaturallyAspirated,7,0,0,TwoWheelDriveRear,2,2,MinicompactCars,1,1
3.8,6,M6,35.3594,NaturallyAspirated,6,0,0,TwoWheelDriveRear,2,2,MinicompactCars,1,1
3.8,6,A7,36.9347,NaturallyAspirated,7,0,0,TwoWheelDriveRear,2,2,MinicompactCars,1,1
3.8,6,A7,36.9347,NaturallyAspirated,7,0,0,TwoWheelDriveRear,2,2,MinicompactCars,1,1
3.8,6,M6,35.3594,NaturallyAspirated,6,0,0,TwoWheelDriveRear,2,2,MinicompactCars,1,1
3.8,6,A7,33.8482,Turbocharged,7,1,0,TwoWheelDriveRear,2,2,MinicompactCars,1,1
3.8,6,M6,33.1649,Turbocharged,6,0,0,TwoWheelDriveRear,2,2,MinicompactCars,1,1
3.8,6,A7,34.255,Turbocharged,7,1,0,TwoWheelDriveRear,2,2,MinicompactCars,1,1
3.8,6,M6,33.2357,Turbocharged,6,0,0,TwoWheelDriveRear,2,2,MinicompactCars,1,1
3.8,6,A7,33.8482,Turbocharged,7,1,0,TwoWheelDriveRear,2,2,MinicompactCars,1,1
3.8,6,A7,34.255,Turbocharged,7,1,0,TwoWheelDriveRear,2,2,MinicompactCars,1,1
2.5,5,S6,39.7267,NaturallyAspirated,6,0,0,TwoWheelDriveFront,2,2,MinicompactCars,1,0
5.9,12,S6,26.6208,NaturallyAspirated,6,1,0,TwoWheelDriveRear,2,2,SubcompactCars,0,0
2.0,4,AV,42.7743,Turbocharged,1,0,0,TwoWheelDriveFront,2,2,SubcompactCars,1,1
2.0,4,S6,37.0,Turbocharged,6,1,0,AllWheelDrive,2,2,SubcompactCars,1,1
2.0,4,S6,37.7989,Turbocharged,6,1,0,AllWheelDrive,2,2,SubcompactCars,1,1
2.0,4,M6,42.575,Turbocharged,6,1,0,AllWheelDrive,2,2,SubcompactCars,1,1
3.2,6,S6,36.2,NaturallyAspirated,6,0,0,AllWheelDrive,2,2,SubcompactCars,1,1
4.2,8,S6,31.0,NaturallyAspirated,6,1,0,AllWheelDrive,2,2,SubcompactCars,1,0
4.2,8,M6,29.3,NaturallyAspirated,6,0,0,AllWheelDrive,2,2,SubcompactCars,1,0
3.0,6,S7,34.0,Supercharged,7,0,0,AllWheelDrive,2,2,SubcompactCars,1,0
2.0,4,S6,39.7256,Turbocharged,6,0,0,AllWheelDrive,2,2,SubcompactCars,1,0
6.0,12,S6,23.2715,Turbocharged,6,1,0,AllWheelDrive,2,2,SubcompactCars,1,0
3.0,6,S6,38.1696,NaturallyAspirated,6,1,0,TwoWheelDriveRear,2,2,SubcompactCars,1,1
3.0,6,M6,38.7896,NaturallyAspirated,6,0,0,TwoWheelDriveRear,2,2,SubcompactCars,1,1
3.0,6,S6,39.7103,NaturallyAspirated,6,1,0,TwoWheelDriveRear,2,2,SubcompactCars,1,1
3.0,6,M6,38.7896,NaturallyAspirated,6,0,0,TwoWheelDriveRear,2,2,SubcompactCars,1,1
3.0,6,S6,35.5,Turbocharged,6,1,0,TwoWheelDriveRear,2,2,SubcompactCars,1,0
3.0,6,M6,35.2678,Turbocharged,6,0,0,TwoWheelDriveRear,2,2,SubcompactCars,1,0
3.0,6,S6,36.1548,Turbocharged,6,1,0,TwoWheelDriveRear,2,2,SubcompactCars,1,0
3.0,6,M6,35.7081,Turbocharged,6,0,0,TwoWheelDriveRear,2,2,SubcompactCars,1,0
3.0,6,S6,39.7103,NaturallyAspirated,6,1,0,TwoWheelDriveRear,2,2,SubcompactCars,1,1
3.0,6,M6,38.7896,NaturallyAspirated,6,0,0,TwoWheelDriveRear,2,2,SubcompactCars,1,1
3.0,6,S6,38.1696,NaturallyAspirated,6,1,0,TwoWheelDriveRear,2,2,SubcompactCars,1,1
3.0,6,M6,36.798,NaturallyAspirated,6,1,0,TwoWheelDriveRear,2,2,SubcompactCars,1,1
3.0,6,S6,35.5404,NaturallyAspirated,6,1,0,AllWheelDrive,2,2,SubcompactCars,1,1
3.0,6,M6,35.4606,NaturallyAspirated,6,0,0,AllWheelDrive,2,2,SubcompactCars,1,1
3.0,6,S6,36.1548,Turbocharged,6,1,0,TwoWheelDriveRear,2,2,SubcompactCars,1,0
3.0,6,M6,35.7081,Turbocharged,6,0,0,TwoWheelDriveRear,2,2,SubcompactCars,1,0
3.0,6,S6,36.1548,Turbocharged,6,1,0,TwoWheelDriveRear,2,2,SubcompactCars,1,0
3.0,6,M6,35.7081,Turbocharged,6,0,0,TwoWheelDriveRear,2,2,SubcompactCars,1,0
3.0,6,S6,34.7288,Turbocharged,6,1,0,AllWheelDrive,2,2,SubcompactCars,1,0
3.0,6,M6,34.2853,Turbocharged,6,1,0,AllWheelDrive,2,2,SubcompactCars,1,0
4.8,8,M6,30.5375,NaturallyAspirated,6,1,0,TwoWheelDriveRear,2,2,SubcompactCars,1,1
4.8,8,S6,31.3747,NaturallyAspirated,6,1,0,TwoWheelDriveRear,2,2,SubcompactCars,1,1
4.8,8,M6,28.8,NaturallyAspirated,6,1,0,TwoWheelDriveRear,2,2,SubcompactCars,1,1
4.8,8,S6,31.8,NaturallyAspirated,6,1,0,TwoWheelDriveRear,2,2,SubcompactCars,1,1
4.0,8,S7,27.3704,NaturallyAspirated,7,1,0,TwoWheelDriveRear,2,2,SubcompactCars,1,0
4.0,8,M6,27.3,NaturallyAspirated,6,0,0,TwoWheelDriveRear,2,2,SubcompactCars,1,0
4.0,8,M6,28.4,NaturallyAspirated,6,0,0,TwoWheelDriveRear,2,2,SubcompactCars,1,0
4.0,8,S7,27.9711,NaturallyAspirated,7,1,0,TwoWheelDriveRear,2,2,SubcompactCars,1,0
5.0,10,M6,23.226999999999997,NaturallyAspirated,6,1,0,TwoWheelDriveRear,2,2,SubcompactCars,1,0
5.0,10,S7,23.6182,NaturallyAspirated,7,1,0,TwoWheelDriveRear,2,2,SubcompactCars,1,0
5.0,10,M6,23.7,NaturallyAspirated,6,1,0,TwoWheelDriveRear,2,2,SubcompactCars,1,0
5.0,10,S7,24.0505,NaturallyAspirated,7,1,0,TwoWheelDriveRear,2,2,SubcompactCars,1,0
1.6,4,A4,47.9,NaturallyAspirated,4,1,0,TwoWheelDriveFront,2,2,SubcompactCars,1,0
1.6,4,M5,48.9,NaturallyAspirated,5,0,0,TwoWheelDriveFront,2,2,SubcompactCars,1,0
2.2,4,M5,51.9,NaturallyAspirated,5,0,0,TwoWheelDriveFront,2,2,SubcompactCars,1,0
2.2,4,A4,46.8,NaturallyAspirated,4,1,0,TwoWheelDriveFront,2,2,SubcompactCars,1,0
2.0,4,M5,41.9,Turbocharged,5,0,0,TwoWheelDriveFront,2,2,SubcompactCars,1,0
2.2,4,M5,51.9,NaturallyAspirated,5,0,0,TwoWheelDriveFront,2,2,SubcompactCars,1,0
4.0,6,A5,32.7568,NaturallyAspirated,5,1,1,TwoWheelDriveRear,1,1,SubcompactCars,0,0
4.0,6,M5,36.3926,NaturallyAspirated,5,0,0,TwoWheelDriveRear,1,1,SubcompactCars,0,0
4.6,8,A5,32.1109,NaturallyAspirated,5,1,1,TwoWheelDriveRear,2,1,SubcompactCars,1,0
4.6,8,M5,33.8,NaturallyAspirated,5,0,1,TwoWheelDriveRear,2,1,SubcompactCars,1,0
5.4,8,M6,30.4,Supercharged,6,0,0,TwoWheelDriveRear,2,2,SubcompactCars,0,0
1.8,4,A5,50.5,NaturallyAspirated,5,1,0,TwoWheelDriveFront,2,2,SubcompactCars,1,1
1.8,4,M5,48.6,NaturallyAspirated,5,0,0,TwoWheelDriveFront,2,2,SubcompactCars,1,1
1.8,4,A5,51.1915,NaturallyAspirated,5,1,0,TwoWheelDriveFront,2,2,SubcompactCars,1,1
2.0,4,M6,40.5,NaturallyAspirated,6,0,0,TwoWheelDriveFront,2,2,SubcompactCars,1,1
2.0,4,A5,41.7998,Turbocharged,5,1,0,TwoWheelDriveRear,2,2,SubcompactCars,1,0
2.0,4,M6,42.0,Turbocharged,6,0,0,TwoWheelDriveRear,2,2,SubcompactCars,1,0
3.8,6,A6,38.0484,NaturallyAspirated,6,1,0,TwoWheelDriveRear,2,2,SubcompactCars,1,0
3.8,6,M6,36.4,NaturallyAspirated,6,0,0,TwoWheelDriveRear,2,2,SubcompactCars,1,0
3.7,6,M6,32.9748,NaturallyAspirated,6,0,0,TwoWheelDriveRear,2,2,SubcompactCars,1,1
3.7,6,S7,35.2288,NaturallyAspirated,7,1,0,TwoWheelDriveRear,2,2,SubcompactCars,1,1
3.7,6,M6,34.7305,NaturallyAspirated,6,0,0,TwoWheelDriveRear,2,2,SubcompactCars,1,1
3.7,6,S7,37.065,NaturallyAspirated,7,1,0,TwoWheelDriveRear,2,2,SubcompactCars,1,1
3.7,6,S7,35.162,NaturallyAspirated,7,1,0,FourWheelDrive,2,2,SubcompactCars,1,1
2.5,6,S6,36.2901,NaturallyAspirated,6,1,0,AllWheelDrive,2,2,SubcompactCars,1,0
2.5,6,M6,36.7047,NaturallyAspirated,6,0,0,TwoWheelDriveRear,2,2,SubcompactCars,1,0
2.5,6,S6,40.8247,NaturallyAspirated,6,1,0,TwoWheelDriveRear,2,2,SubcompactCars,1,0
3.5,6,S6,36.5564,NaturallyAspirated,6,1,0,TwoWheelDriveRear,2,2,SubcompactCars,1,0
5.0,8,S8,32.0888,NaturallyAspirated,8,1,0,TwoWheelDriveRear,2,2,SubcompactCars,1,0
4.2,8,A6,26.8817,NaturallyAspirated,6,0,0,TwoWheelDriveRear,2,2,SubcompactCars,1,0
4.7,8,A6,26.7022,NaturallyAspirated,6,0,0,TwoWheelDriveRear,2,2,SubcompactCars,1,0
4.7,8,A6,26.5604,NaturallyAspirated,6,0,0,TwoWheelDriveRear,2,2,SubcompactCars,1,0
1.3,2,M6,30.2,NaturallyAspirated,6,0,0,TwoWheelDriveRear,0,0,SubcompactCars,0,0
1.3,2,S6,32.1,NaturallyAspirated,6,1,0,TwoWheelDriveRear,0,0,SubcompactCars,0,0
3.5,6,A7,36.0876,NaturallyAspirated,7,1,0,TwoWheelDriveRear,2,2,SubcompactCars,1,0
5.5,8,A7,31.7,NaturallyAspirated,7,1,0,TwoWheelDriveRear,2,2,SubcompactCars,1,0
1.6,4,M6,51.6555,NaturallyAspirated,6,0,0,TwoWheelDriveFront,2,2,SubcompactCars,1,1
1.6,4,S6,47.2025,NaturallyAspirated,6,1,0,TwoWheelDriveFront,2,2,SubcompactCars,1,1
1.6,4,S6,44.5714,Turbocharged,6,1,0,TwoWheelDriveFront,2,2,SubcompactCars,1,0
1.6,4,M6,47.7592,Turbocharged,6,0,0,TwoWheelDriveFront,2,2,SubcompactCars,1,0
1.6,4,M6,46.5047,Turbocharged,6,0,0,TwoWheelDriveFront,2,2,SubcompactCars,1,1
2.4,4,M5,38.5995,NaturallyAspirated,5,0,0,TwoWheelDriveFront,2,2,SubcompactCars,0,1
2.4,4,S4,37.4902,NaturallyAspirated,4,1,0,TwoWheelDriveFront,2,2,SubcompactCars,0,1
3.8,6,M6,34.6,NaturallyAspirated,6,0,0,TwoWheelDriveFront,2,2,SubcompactCars,0,1
3.8,6,S5,33.2,NaturallyAspirated,5,1,0,TwoWheelDriveFront,2,2,SubcompactCars,0,1
2.5,4,AVS6,44.7365,NaturallyAspirated,1,1,0,TwoWheelDriveFront,2,2,SubcompactCars,1,0
2.5,4,M6,43.8,NaturallyAspirated,6,0,0,TwoWheelDriveFront,2,2,SubcompactCars,1,0
3.5,6,M6,37.9628,NaturallyAspirated,6,0,0,TwoWheelDriveFront,2,2,SubcompactCars,1,0
3.5,6,AVS6,38.0169,NaturallyAspirated,1,1,0,TwoWheelDriveFront,2,2,SubcompactCars,1,0
3.8,6,AM6,29.0307,Turbocharged,6,1,0,AllWheelDrive,2,2,SubcompactCars,1,0
2.2,4,M5,51.9,NaturallyAspirated,5,0,0,TwoWheelDriveFront,2,2,SubcompactCars,1,0
2.2,4,A4,46.8,NaturallyAspirated,4,1,0,TwoWheelDriveFront,2,2,SubcompactCars,1,0
2.2,4,A4,46.8,NaturallyAspirated,4,1,0,TwoWheelDriveFront,2,2,SubcompactCars,1,0
2.2,4,M5,51.9,NaturallyAspirated,5,0,0,TwoWheelDriveFront,2,2,SubcompactCars,1,0
2.2,4,M5,51.9,NaturallyAspirated,5,0,0,TwoWheelDriveFront,2,2,SubcompactCars,1,0
4.6,8,A5,29.14,Supercharged,5,1,0,TwoWheelDriveRear,2,1,SubcompactCars,1,0
4.6,8,M5,31.61,Supercharged,5,0,0,TwoWheelDriveRear,2,1,SubcompactCars,1,0
2.0,4,M6,41.2,Turbocharged,6,0,0,TwoWheelDriveFront,2,2,SubcompactCars,0,0
2.0,4,S5,37.5,Turbocharged,5,1,0,TwoWheelDriveFront,2,2,SubcompactCars,0,0
1.6,4,M5,48.9,NaturallyAspirated,5,0,0,TwoWheelDriveFront,2,2,SubcompactCars,1,0
1.6,4,A4,42.1,NaturallyAspirated,4,1,0,TwoWheelDriveFront,2,2,SubcompactCars,1,0
2.4,4,A4,40.2,NaturallyAspirated,4,1,0,TwoWheelDriveFront,2,2,SubcompactCars,1,0
2.4,4,M5,38.2,NaturallyAspirated,5,0,0,TwoWheelDriveFront,2,2,SubcompactCars,1,0
1.8,4,A4,47.2,NaturallyAspirated,4,1,0,TwoWheelDriveFront,2,2,SubcompactCars,1,0
1.8,4,M5,46.9,NaturallyAspirated,5,0,0,TwoWheelDriveFront,2,2,SubcompactCars,1,0
1.5,4,A4,48.8622,NaturallyAspirated,4,1,0,TwoWheelDriveFront,2,2,SubcompactCars,1,0
1.5,4,M5,50.6725,NaturallyAspirated,5,0,0,TwoWheelDriveFront,2,2,SubcompactCars,1,0
2.0,4,M6,41.521,Turbocharged,6,0,0,TwoWheelDriveFront,2,2,SubcompactCars,1,0
2.0,4,S6,41.3156,Turbocharged,6,0,0,TwoWheelDriveFront,2,2,SubcompactCars,1,0
2.5,5,S6,40.8,NaturallyAspirated,6,0,0,TwoWheelDriveFront,2,2,SubcompactCars,1,0
2.5,5,M5,39.3753,NaturallyAspirated,5,0,0,TwoWheelDriveFront,2,2,SubcompactCars,1,0
2.5,5,S5,38.4,Turbocharged,5,1,0,TwoWheelDriveFront,2,2,SubcompactCars,1,0
